t,x,y,yaw
0.000000,0.000000,0.000000,-0.916858
0.086914,0.008344,-0.010886,-0.880983
0.173828,0.017068,-0.021461,-0.845147
0.260742,0.026172,-0.031723,-0.809461
0.347656,0.035656,-0.041675,-0.774031
0.434570,0.045519,-0.051316,-0.738957
0.521484,0.055759,-0.060647,-0.704331
0.608398,0.066376,-0.069669,-0.670240
0.695312,0.077368,-0.078381,-0.636759
0.782227,0.088733,-0.086786,-0.603953
0.869141,0.100469,-0.094883,-0.571879
0.956055,0.112573,-0.102673,-0.540582
1.042969,0.125042,-0.110158,-0.510099
1.129883,0.137875,-0.117338,-0.480455
1.216797,0.151067,-0.124213,-0.451669
1.303711,0.164615,-0.130786,-0.423751
1.390625,0.178516,-0.137056,-0.396704
1.477539,0.192766,-0.143026,-0.370523
1.564453,0.207361,-0.148695,-0.345200
1.651367,0.222295,-0.154065,-0.320720
1.738281,0.237565,-0.159138,-0.297066
1.825195,0.253166,-0.163914,-0.274217
1.912109,0.269093,-0.168394,-0.252148
1.999023,0.285340,-0.172580,-0.230834
2.085938,0.301903,-0.176472,-0.210249
2.172852,0.318774,-0.180073,-0.190363
2.259766,0.335950,-0.183383,-0.171147
2.346680,0.353423,-0.186403,-0.152574
2.433594,0.371187,-0.189134,-0.134612
2.520508,0.389236,-0.191579,-0.117233
2.607422,0.407564,-0.193737,-0.100409
2.694336,0.426164,-0.195611,-0.084111
2.781250,0.445028,-0.197201,-0.068312
2.868164,0.464150,-0.198510,-0.052984
2.955078,0.483522,-0.199537,-0.038102
3.041992,0.503138,-0.200285,-0.023641
3.128906,0.522990,-0.200754,-0.009577
3.215820,0.543070,-0.200947,0.004115
3.302734,0.563371,-0.200863,0.017457
3.389648,0.583884,-0.200505,0.030469
3.476562,0.604603,-0.199873,0.043174
3.563477,0.625518,-0.198970,0.055591
3.650391,0.646623,-0.197795,0.067739
3.737305,0.667908,-0.196351,0.079636
3.824219,0.689366,-0.194639,0.091300
3.911133,0.710988,-0.192659,0.102747
3.998047,0.732766,-0.190414,0.113994
4.084961,0.754692,-0.187903,0.125056
4.171875,0.776757,-0.185130,0.135947
4.258789,0.798952,-0.182093,0.146681
4.345703,0.821271,-0.178796,0.157273
4.432617,0.843703,-0.175239,0.167734
4.519531,0.866240,-0.171423,0.178076
4.606445,0.888874,-0.167349,0.188312
4.693359,0.911597,-0.163019,0.198453
4.780273,0.934399,-0.158433,0.208509
4.867188,0.957273,-0.153593,0.218491
4.954102,0.980210,-0.148501,0.228408
5.041016,1.003202,-0.143156,0.238269
5.127930,1.026239,-0.137560,0.248084
5.214844,1.049315,-0.131715,0.257862
5.301758,1.072420,-0.125622,0.267609
5.388672,1.095547,-0.119281,0.277334
5.475586,1.118687,-0.112693,0.287045
5.562500,1.141832,-0.105861,0.296749
5.649414,1.164975,-0.098784,0.306451
5.736328,1.188106,-0.091465,0.316160
5.823242,1.211219,-0.083904,0.325879
5.910156,1.234306,-0.076102,0.335617
5.997070,1.257359,-0.068061,0.345377
6.083984,1.280371,-0.059782,0.355166
6.170898,1.303333,-0.051265,0.364988
6.257812,1.326240,-0.042512,0.374847
6.344727,1.349083,-0.033525,0.384748
6.431641,1.371855,-0.024304,0.394695
6.518555,1.394550,-0.014850,0.404692
6.605469,1.417161,-0.005165,0.414742
6.692383,1.439680,0.004750,0.424849
6.779297,1.462102,0.014894,0.435014
6.866211,1.484420,0.025265,0.445242
6.953125,1.506628,0.035862,0.455533
7.040039,1.528719,0.046685,0.465891
7.126953,1.550688,0.057731,0.476317
7.213867,1.572528,0.068999,0.486812
7.300781,1.594235,0.080489,0.497379
7.387695,1.615802,0.092198,0.508016
7.474609,1.637224,0.104124,0.518727
7.561523,1.658496,0.116268,0.529510
7.648438,1.679613,0.128627,0.540366
7.735352,1.700569,0.141199,0.551295
7.822266,1.721360,0.153983,0.562296
7.909180,1.741982,0.166978,0.573369
7.996094,1.762430,0.180182,0.584513
8.083008,1.782699,0.193593,0.595726
8.169922,1.802786,0.207210,0.607008
8.256836,1.822687,0.221030,0.618356
8.343750,1.842397,0.235052,0.629769
8.430664,1.861913,0.249275,0.641244
8.517578,1.881232,0.263696,0.652779
8.604492,1.900350,0.278314,0.664372
8.691406,1.919264,0.293126,0.676020
8.778320,1.937971,0.308131,0.687719
8.865234,1.956468,0.323326,0.699467
8.952148,1.974752,0.338710,0.711260
9.039062,1.992820,0.354280,0.723094
9.125977,2.010671,0.370034,0.734967
9.212891,2.028301,0.385970,0.746875
9.299805,2.045710,0.402086,0.758813
9.386719,2.062893,0.418380,0.770777
9.473633,2.079850,0.434848,0.782764
9.560547,2.096579,0.451489,0.794770
9.647461,2.113078,0.468300,0.806790
9.734375,2.129346,0.485279,0.818821
9.821289,2.145380,0.502423,0.830858
9.908203,2.161180,0.519729,0.842898
9.995117,2.176745,0.537196,0.854935
10.082031,2.192074,0.554819,0.866967
10.168945,2.207164,0.572597,0.878989
10.255859,2.222016,0.590526,0.890998
10.342773,2.236629,0.608604,0.902990
10.429688,2.251002,0.626827,0.914961
10.516602,2.265134,0.645194,0.926908
10.603516,2.279025,0.663700,0.938828
10.690430,2.292675,0.682343,0.950717
10.777344,2.306082,0.701120,0.962573
10.864258,2.319247,0.720028,0.974393
10.951172,2.332169,0.739062,0.986175
11.038086,2.344848,0.758221,0.997916
11.125000,2.357284,0.777501,1.009615
11.211914,2.369477,0.796898,1.021269
11.298828,2.381427,0.816410,1.032878
11.385742,2.393134,0.836032,1.044439
11.472656,2.404598,0.855762,1.055953
11.559570,2.415818,0.875595,1.067418
11.646484,2.426796,0.895529,1.078833
11.733398,2.437531,0.915560,1.090200
11.820312,2.448023,0.935685,1.101517
11.907227,2.458272,0.955899,1.112786
11.994141,2.468280,0.976199,1.124007
12.081055,2.478045,0.996581,1.135181
12.167969,2.487568,1.017042,1.146309
12.254883,2.496850,1.037579,1.157393
12.341797,2.505890,1.058186,1.168434
12.428711,2.514689,1.078862,1.179435
12.515625,2.523247,1.099601,1.190398
12.602539,2.531564,1.120400,1.201326
12.689453,2.539641,1.141256,1.212221
12.776367,2.547477,1.162164,1.223086
12.863281,2.555072,1.183121,1.233925
12.950195,2.562427,1.204122,1.244741
13.037109,2.569542,1.225165,1.255538
13.124023,2.576417,1.246245,1.266320
13.210938,2.583052,1.267358,1.277091
13.297852,2.589447,1.288501,1.287855
13.384766,2.595601,1.309669,1.298617
13.471680,2.601516,1.330860,1.309382
13.558594,2.607190,1.352068,1.320154
13.645508,2.612623,1.373291,1.330938
13.732422,2.617816,1.394524,1.341740
13.819336,2.622768,1.415765,1.352564
13.906250,2.627479,1.437008,1.363416
13.993164,2.631949,1.458251,1.374301
14.080078,2.636177,1.479489,1.385226
14.166992,2.640162,1.500719,1.396195
14.253906,2.643905,1.521937,1.407214
14.340820,2.647405,1.543140,1.418288
14.427734,2.650661,1.564324,1.429425
14.514648,2.653673,1.585485,1.440628
14.601562,2.656439,1.606621,1.451904
14.688477,2.658961,1.627727,1.463259
14.775391,2.661235,1.648799,1.474698
14.862305,2.663263,1.669836,1.486226
14.949219,2.665043,1.690832,1.497850
15.036133,2.666574,1.711786,1.509573
15.123047,2.667856,1.732693,1.521403
15.209961,2.668887,1.753550,1.533342
15.296875,2.669667,1.774355,1.545397
15.383789,2.670194,1.795103,1.557572
15.470703,2.670467,1.815793,1.569871
15.557617,2.670486,1.836421,1.582298
15.644531,2.670250,1.856984,1.594858
15.731445,2.669757,1.877478,1.607553
15.818359,2.669006,1.897903,1.620386
15.905273,2.667996,1.918253,1.633362
15.992188,2.666725,1.938528,1.646481
16.079102,2.665194,1.958724,1.659745
16.166016,2.663400,1.978838,1.673157
16.252930,2.661343,1.998869,1.686716
16.339844,2.659020,2.018813,1.700424
16.426758,2.656432,2.038668,1.714281
16.513672,2.653576,2.058433,1.728284
16.600586,2.650453,2.078104,1.742435
16.687500,2.647059,2.097680,1.756729
16.774414,2.643395,2.117158,1.771165
16.861328,2.639460,2.136537,1.785740
16.948242,2.635251,2.155814,1.800449
17.035156,2.630769,2.174988,1.815289
17.122070,2.626011,2.194056,1.830253
17.208984,2.620978,2.213018,1.845337
17.295898,2.615668,2.231871,1.860533
17.382812,2.610080,2.250614,1.875834
17.469727,2.604214,2.269246,1.891234
17.556641,2.598068,2.287764,1.906722
17.643555,2.591642,2.306168,1.922290
17.730469,2.584936,2.324456,1.937929
17.817383,2.577948,2.342627,1.953629
17.904297,2.570678,2.360679,1.969378
17.991211,2.563126,2.378613,1.985166
18.078125,2.555291,2.396426,2.000981
18.165039,2.547173,2.414118,2.016812
18.251953,2.538772,2.431688,2.032646
18.338867,2.530088,2.449135,2.048472
18.425781,2.521120,2.466458,2.064277
18.512695,2.511869,2.483657,2.080047
18.599609,2.502336,2.500731,2.095772
18.686523,2.492519,2.517679,2.111438
18.773438,2.482421,2.534502,2.127033
18.860352,2.472041,2.551197,2.142544
18.947266,2.461380,2.567766,2.157960
19.034180,2.450439,2.584207,2.173268
19.121094,2.439219,2.600520,2.188458
19.208008,2.427721,2.616706,2.203518
19.294922,2.415946,2.632764,2.218438
19.381836,2.403896,2.648693,2.233207
19.468750,2.391571,2.664494,2.247817
19.555664,2.378975,2.680167,2.262256
19.642578,2.366107,2.695711,2.276518
19.729492,2.352971,2.711127,2.290595
19.816406,2.339569,2.726414,2.304478
19.903320,2.325902,2.741573,2.318162
19.990234,2.311973,2.756604,2.331639
20.077148,2.297785,2.771507,2.344906
20.164062,2.283340,2.786281,2.357956
20.250977,2.268641,2.800928,2.370786
20.337891,2.253692,2.815448,2.383393
20.424805,2.238495,2.829839,2.395772
20.511719,2.223054,2.844104,2.407923
20.598633,2.207373,2.858242,2.419842
20.685547,2.191454,2.872253,2.431529
20.772461,2.175302,2.886137,2.442984
