t,x,y,yaw
0.000000,0.000000,0.000000,0.000000
0.033333,0.008252,0.001160,0.139655
0.066667,0.016494,0.002389,0.148078
0.100000,0.024728,0.003676,0.154957
0.133333,0.032989,0.004771,0.131863
0.166667,0.041274,0.005665,0.107407
0.200000,0.049587,0.006246,0.069770
0.233333,0.057904,0.006774,0.063434
0.266667,0.066211,0.007432,0.079014
0.300000,0.074504,0.008254,0.098867
0.333333,0.082783,0.009203,0.114055
0.366667,0.091064,0.010131,0.111595
0.400000,0.099363,0.010892,0.091554
0.433333,0.107681,0.011402,0.061184
0.466667,0.116007,0.011735,0.039986
0.500000,0.124337,0.011963,0.027358
0.533333,0.132668,0.012162,0.023865
0.566667,0.141000,0.012327,0.019819
0.600000,0.149332,0.012506,0.021524
0.633333,0.157663,0.012697,0.022877
0.666667,0.165987,0.013085,0.046602
0.700000,0.174311,0.013488,0.048396
0.733333,0.182629,0.013984,0.059490
0.766667,0.190950,0.014437,0.054441
0.800000,0.199270,0.014914,0.057266
0.833333,0.207589,0.015391,0.057234
0.866667,0.215916,0.015720,0.039490
0.900000,0.224247,0.015915,0.023430
0.933333,0.232579,0.016073,0.018942
0.966667,0.240911,0.016239,0.019873
1.000000,0.249239,0.016539,0.036002
1.033333,0.257563,0.016937,0.047771
1.066667,0.265886,0.017345,0.049054
1.100000,0.274209,0.017758,0.049560
1.133333,0.282533,0.018150,0.047005
1.166667,0.290858,0.018528,0.045428
1.200000,0.299188,0.018769,0.028897
1.233333,0.307521,0.018861,0.011062
1.266667,0.315854,0.018791,-0.008447
1.300000,0.324186,0.018687,-0.012387
1.333333,0.332519,0.018572,-0.013865
1.366667,0.340848,0.018306,-0.031887
1.400000,0.349177,0.018033,-0.032803
1.433333,0.357503,0.017676,-0.042810
1.466667,0.365830,0.017351,-0.039031
1.500000,0.374155,0.016986,-0.043795
1.533333,0.382483,0.016692,-0.035262
1.566667,0.390812,0.016425,-0.032087
1.600000,0.399141,0.016142,-0.033928
1.633333,0.407472,0.015959,-0.022023
1.666667,0.415805,0.016058,0.011899
1.700000,0.424133,0.016335,0.033227
1.733333,0.432446,0.016922,0.070568
1.766667,0.440750,0.017626,0.084510
1.800000,0.449035,0.018517,0.107166
1.833333,0.457320,0.019417,0.108175
1.866667,0.465596,0.020393,0.117380
1.900000,0.473868,0.021397,0.120828
1.933333,0.482135,0.022452,0.126849
1.966667,0.490397,0.023538,0.130715
2.000000,0.498670,0.024540,0.120593
2.033333,0.506932,0.025627,0.130785
2.066667,0.515187,0.026766,0.137058
2.100000,0.523433,0.027967,0.144671
2.133333,0.531669,0.029242,0.153633
2.166667,0.539924,0.030381,0.137035
2.200000,0.548197,0.031380,0.120214
2.233333,0.556487,0.032224,0.101437
2.266667,0.564814,0.032568,0.041359
2.300000,0.573146,0.032703,0.016174
2.333333,0.581479,0.032689,-0.001652
2.366667,0.589811,0.032541,-0.017759
2.400000,0.598143,0.032402,-0.016691
2.433333,0.606475,0.032241,-0.019307
2.466667,0.614808,0.032235,-0.000722
2.500000,0.623142,0.032214,-0.002559
2.533333,0.631474,0.032324,0.013237
2.566667,0.639806,0.032503,0.021391
2.600000,0.648136,0.032735,0.027902
2.633333,0.656463,0.033067,0.039792
2.666667,0.664785,0.033488,0.050559
2.700000,0.673109,0.033881,0.047251
2.733333,0.681434,0.034258,0.045200
2.766667,0.689760,0.034608,0.042047
2.800000,0.698084,0.034997,0.046678
2.833333,0.706412,0.035296,0.035838
2.866667,0.714739,0.035623,0.039292
2.900000,0.723067,0.035926,0.036330
2.933333,0.731397,0.036166,0.028861
2.966667,0.739730,0.036215,0.005848
3.000000,0.748063,0.036087,-0.015303
3.033333,0.756394,0.035920,-0.020028
3.066667,0.764727,0.036052,0.015760
3.100000,0.773038,0.036658,0.072810
3.133333,0.781369,0.036864,0.024773
3.166667,0.789671,0.036149,-0.085916
3.200000,0.797874,0.037616,0.176953
3.233333,0.806028,0.039336,0.207874
3.266667,0.814046,0.041609,0.276199
3.300000,0.822042,0.043954,0.285342
