t,x,y,yaw
0.000000,0.000000,0.000000,0.000000
0.033333,0.008335,-0.000395,0.003372
0.066667,0.016672,-0.000734,0.009926
0.100000,0.025010,-0.001020,0.014470
0.133333,0.033348,-0.001287,0.014408
0.166667,0.041686,-0.001558,0.012672
0.200000,0.050022,-0.001843,0.010248
0.233333,0.058359,-0.002128,0.009908
0.266667,0.066696,-0.002391,0.012279
0.300000,0.075034,-0.002623,0.014843
0.333333,0.083372,-0.002821,0.017789
0.366667,0.091710,-0.002986,0.019916
0.400000,0.100048,-0.003130,0.020380
0.433333,0.108386,-0.003261,0.020240
0.466667,0.116723,-0.003379,0.020552
0.500000,0.125061,-0.003482,0.021063
0.533333,0.133398,-0.003570,0.021779
0.566667,0.141735,-0.003644,0.022573
0.600000,0.150072,-0.003704,0.023366
0.633333,0.158409,-0.003752,0.024109
0.666667,0.166746,-0.003784,0.025335
0.700000,0.175083,-0.003808,0.025870
0.733333,0.183419,-0.003821,0.026627
0.766667,0.191756,-0.003827,0.027042
0.800000,0.200092,-0.003824,0.027742
0.833333,0.208429,-0.003808,0.028735
0.866667,0.216765,-0.003782,0.029038
0.900000,0.225101,-0.003749,0.029011
0.933333,0.233436,-0.003709,0.029507
0.966667,0.241772,-0.003663,0.029999
1.000000,0.250107,-0.003602,0.030755
1.033333,0.258443,-0.003529,0.031432
1.066667,0.266778,-0.003446,0.031871
1.100000,0.275112,-0.003352,0.032123
1.133333,0.283446,-0.003242,0.032825
1.166667,0.291780,-0.003108,0.034127
1.200000,0.300113,-0.002954,0.034937
1.233333,0.308446,-0.002787,0.035215
1.266667,0.316778,-0.002607,0.035407
1.300000,0.325109,-0.002406,0.036101
1.333333,0.333440,-0.002186,0.036843
1.366667,0.341771,-0.001951,0.037141
1.400000,0.350100,-0.001700,0.037679
1.433333,0.358429,-0.001432,0.038393
1.466667,0.366758,-0.001145,0.039391
1.500000,0.375086,-0.000838,0.040245
1.533333,0.383413,-0.000513,0.040828
