timestamp_ns,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0,-0.523111,-9.65031,-1.03107,23.2057,0.113802,-1.00884
2981559,-0.0382282,-10.1613,-0.548723,26.6406,0.613413,-0.0977048
4987430,0.497231,-10.347,-0.171439,23.7237,0.665926,1.26787
7953405,0.935722,-10.5842,-0.00428798,21.1625,0.969406,2.78942
9951053,1.12641,-10.4383,0.0601846,21.1206,1.74032,3.27777
12996644,1.03329,-10.2773,0.0649603,19.6098,2.99314,2.99968
15113780,0.725452,-10.2029,0.0458573,17.4386,4.33105,2.74643
17948106,0.372239,-9.79257,0.0315301,16.7965,5.90571,1.99415
19929850,0.0979389,-9.77977,-0.0162273,15.8566,7.22861,1.38888
21927977,-0.0382015,-9.58597,0.00287564,12.1015,7.95847,1.48065
24956000,-0.00748731,-9.51392,0.0768997,10.9845,8.31407,2.07778
26931856,0.0629883,-9.563,0.341953,8.69584,8.96595,2.60572
29980807,0.139756,-9.49023,0.809976,4.8211,9.75705,2.54555
32014711,0.180474,-9.54686,1.33531,0.227404,10.54,2.44862
34999278,0.248175,-9.46468,1.6911,-6.07247,11.0862,2.42567
37000349,0.367698,-9.49402,1.65051,-10.7814,11.1536,2.83753
39935604,0.467394,-9.51415,1.22308,-14.2945,10.8271,4.34665
41926691,0.46542,-9.59782,0.568801,-16.0086,10.5845,5.60021
44937082,0.282044,-9.66975,-0.0878635,-15.9481,10.8977,4.99771
46946058,-0.0621288,-9.64846,-0.541559,-17.5079,11.8146,3.65841
49922337,-0.430968,-9.62987,-0.809001,-20.0543,12.3473,2.61037
51923088,-0.662037,-9.52576,-0.918843,-21.9422,13.0119,1.44806
55004232,-0.671493,-9.52113,-0.940334,-23.4708,13.306,0.982409
56952887,-0.439995,-9.63718,-0.930782,-24.8197,13.0405,1.45264
60564179,-0.0556587,-9.71287,-0.937946,-25.0871,12.2903,2.35308
61943581,0.324251,-9.90322,-1.0263,-26.1969,11.3094,4.12175
65052629,0.595422,-10.0832,-1.36299,-27.4854,10.733,5.04434
67010436,0.679523,-9.92935,-2.05069,-23.4993,10.3738,5.65265
69979835,0.443198,-10.0809,-3.16344,-22.207,9.70505,6.23486
71930026,-0.0863595,-9.62075,-4.36215,-15.3017,8.92056,5.77781
74939329,-0.860269,-9.46959,-5.35551,-10.7803,8.21192,3.12191
76921553,-1.62715,-9.04613,-5.75906,-7.34137,8.39286,-0.475941
79926440,-2.05273,-8.88508,-5.59668,-6.36812,8.88247,-3.39831
81928983,-1.8975,-8.93291,-5.05702,-4.83749,9.12026,-4.10907
84934542,-1.17455,-9.17316,-4.42663,-2.31934,8.15162,-2.57999
86931998,-0.174447,-9.59089,-3.85831,-1.03017,6.48209,0.14369
89929301,0.723375,-9.86687,-3.37357,0.139836,4.7493,2.86591
91927332,1.16794,-9.93687,-2.95331,-0.459428,3.96238,4.15638
93926356,1.05202,-9.81674,-2.63811,-0.672419,4.30081,4.0658
97020588,0.473704,-9.52418,-2.4829,-1.0298,5.20311,2.22298
99170236,-0.268335,-9.22683,-2.55692,-0.0856146,5.28742,-0.157671
101956466,-0.871099,-9.097,-2.82436,1.62174,3.95539,-2.2377
104049026,-1.08454,-9.08098,-3.14911,3.71764,1.94069,-3.01776
106971928,-0.873523,-9.32626,-3.37357,5.35346,-0.0245674,-2.31945
108954535,-0.355689,-9.57191,-3.34014,6.71018,-1.3758,-1.25688
111926462,0.211118,-9.86456,-3.03689,7.0746,-2.52256,-0.0507223
113924622,0.609834,-10.0187,-2.49961,6.508,-3.49435,1.14815
116934085,0.724089,-9.9812,-1.86683,5.03998,-3.69828,1.40595
118948309,0.56178,-9.91659,-1.31045,3.33145,-3.43754,0.998985
121932171,0.257078,-9.72514,-0.947497,1.50113,-2.89878,0.411141
123925819,-0.067798,-9.63188,-0.890188,1.19897,-2.37365,-0.102566
126931410,-0.307995,-9.56611,-1.09793,1.05257,-2.49768,-0.407132
128984194,-0.418672,-9.54864,-1.45134,1.87625,-3.69448,-0.558349
132419612,-0.426871,-9.58222,-1.76654,2.04464,-5.30161,-0.627231
133929544,-0.376141,-9.5672,-1.90742,1.69266,-6.14261,-0.363332
136940127,-0.311989,-9.5997,-1.83817,1.00273,-5.99509,-0.519862
138937455,-0.269984,-9.60623,-1.61371,-0.170288,-5.51255,-0.708916
141926438,-0.240046,-9.62008,-1.35821,-0.743946,-4.99186,-0.952851
143922581,-0.209812,-9.64111,-1.17196,-1.52651,-4.56657,-1.169
146933900,-0.150403,-9.66412,-1.10987,-1.97919,-4.32448,-1.11108
148927003,-0.0809041,-9.72282,-1.17435,-2.69988,-4.39629,-0.785255
151921523,-0.0109558,-9.75527,-1.34388,-2.72734,-4.92523,-0.27453
153925826,-0.000518892,-9.78618,-1.55163,-3.23229,-5.48945,-0.0103008
156929721,-0.044993,-9.74627,-1.75699,-3.10136,-6.19759,-0.467216
158933353,-0.151754,-9.68097,-1.90981,-3.00291,-6.7207,-0.862787
161966208,-0.261137,-9.61571,-2.00771,-2.75791,-6.93248,-1.28537
164804310,-0.330216,-9.54748,-2.04114,-2.66484,-6.96031,-1.70819
166980711,-0.332624,-9.55944,-2.03637,-2.36577,-6.83248,-1.82571
168938870,-0.261239,-9.55126,-1.98383,-2.39919,-6.61695,-1.67344
170935141,-0.156507,-9.57124,-1.91459,-2.61092,-6.58961,-1.43318
173932412,-0.0542447,-9.58887,-1.82623,-2.882,-6.46894,-1.43488
175920779,0.0241991,-9.58774,-1.74982,-3.42158,-6.4753,-1.40951
178942275,0.0717551,-9.58706,-1.70684,-4.32038,-6.51676,-1.38759
180950482,0.0956965,-9.60343,-1.72356,-4.67892,-6.61374,-1.39141
183929385,0.107989,-9.58895,-1.80713,-5.19303,-6.31105,-1.21267
185926457,0.11816,-9.6127,-1.95279,-4.89412,-6.15213,-1.36025
188935600,0.133238,-9.59341,-2.12949,-4.77504,-6.02652,-1.44915
190928223,0.165087,-9.61209,-2.32052,-4.2977,-5.83532,-1.44369
193932790,0.211104,-9.60668,-2.47574,-4.02935,-5.67719,-1.5008
