t,x,y,yaw
0.000000,0.000000,0.000000,0.000000
0.033333,-0.013178,-0.321281,-0.066855
0.066667,-0.047484,-0.638986,-0.133586
0.100000,-0.102883,-0.953700,-0.200269
0.133333,-0.178564,-1.262105,-0.266828
0.166667,-0.273893,-1.562918,-0.333245
0.200000,-0.388966,-1.856745,-0.399628
0.233333,-0.523279,-2.142290,-0.466020
0.266667,-0.676242,-2.418294,-0.532419
0.300000,-0.844884,-2.680266,-0.598653
0.333333,-1.030455,-2.930532,-0.664728
0.366667,-1.232121,-3.168022,-0.730696
0.400000,-1.447523,-3.390356,-0.796428
0.433333,-1.675516,-3.596793,-0.862015
0.466667,-1.918166,-3.789020,-0.927696
0.500000,-2.172908,-3.964909,-0.993367
0.533333,-2.438641,-4.123706,-1.059023
0.566667,-2.714220,-4.264726,-1.124677
0.600000,-2.998461,-4.387353,-1.190369
0.633333,-3.288219,-4.490493,-1.255865
0.666667,-3.566578,-4.570335,-1.320187
0.700000,-3.831730,-4.629188,-1.383005
0.733333,-4.096046,-4.671077,-1.444706
0.766667,-4.362443,-4.696581,-1.506436
0.800000,-4.629907,-4.705569,-1.568289
0.833333,-4.899417,-4.698009,-1.629694
0.866667,-5.173948,-4.673491,-1.690054
0.900000,-5.466200,-4.629010,-1.749982
0.933333,-5.768866,-4.563791,-1.809905
0.966667,-6.061457,-4.482682,-1.868616
1.000000,-6.343160,-4.386634,-1.927346
1.033333,-6.620291,-4.272780,-1.988369
1.066667,-6.891533,-4.140920,-2.050869
1.100000,-7.142265,-4.000013,-2.111717
1.133333,-7.366415,-3.857430,-2.168665
1.166667,-7.580736,-3.703846,-2.224146
1.200000,-7.802554,-3.523877,-2.281538
1.233333,-8.019147,-3.325623,-2.340354
1.266667,-8.223465,-3.114753,-2.400307
1.300000,-8.410988,-2.896669,-2.460325
1.333333,-8.580719,-2.674438,-2.519096
1.366667,-8.731013,-2.452968,-2.576450
1.400000,-8.867289,-2.224936,-2.634249
1.433333,-8.991502,-1.985618,-2.693692
1.466667,-9.104008,-1.731817,-2.754307
1.500000,-9.201585,-1.469775,-2.814879
1.533333,-9.283376,-1.202377,-2.874505
1.566667,-9.352142,-0.916917,-2.933537
1.600000,-9.406523,-0.610082,-2.992880
1.633333,-9.442692,-0.300569,-3.051962
1.666667,-9.460461,0.008540,-3.111042
1.700000,-9.459286,0.326144,-3.171487
1.733333,-9.437662,0.653022,-3.233043
1.766667,-9.396545,0.976016,-3.293760
1.800000,-9.340127,1.280462,-3.351698
1.833333,-9.269855,1.569696,-3.407890
1.866667,-9.185230,1.848796,-3.464521
1.900000,-9.087717,2.115151,-3.521877
1.933333,-8.980119,2.364581,-3.579480
1.966667,-8.860239,2.603882,-3.637095
2.000000,-8.728989,2.832547,-3.694227
2.033333,-8.581503,3.058293,-3.751162
2.066667,-8.414049,3.284758,-3.807836
2.100000,-8.220720,3.516297,-3.864884
2.133333,-7.993119,3.757480,-3.923113
2.166667,-7.742876,3.992956,-3.981596
2.200000,-7.487211,4.207287,-4.039650
2.233333,-7.236155,4.395278,-4.096186
2.266667,-6.971340,4.570670,-4.153596
2.300000,-6.675444,4.741367,-4.213498
2.333333,-6.362515,4.897226,-4.274086
2.366667,-6.053898,5.029094,-4.333371
2.400000,-5.745669,5.140123,-4.392039
2.433333,-5.425663,5.234438,-4.450711
2.466667,-5.098710,5.310187,-4.509515
2.500000,-4.769879,5.366509,-4.567693
2.533333,-4.442332,5.403469,-4.625268
2.566667,-4.109198,5.421479,-4.683319
2.600000,-3.771586,5.419887,-4.741748
